,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,genre
7047,0.82,0.842,7,-1.8,1,0.0985,0.00954,0,0.28,0.558,125.022,audio_features,0Sp0RwhaE0CdJE8ctmXk4U,spotify:track:0Sp0RwhaE0CdJE8ctmXk4U,https://api.spotify.com/v1/tracks/0Sp0RwhaE0CdJE8ctmXk4U,https://api.spotify.com/v1/audio-analysis/0Sp0RwhaE0CdJE8ctmXk4U,200173,4,Ready Or Not,MOMOLAND,popular
7048,0.724,0.846,9,-3.316,0,0.459,0.0785,0,0.348,0.511,89.108,audio_features,4hxNs73449mNhfLIvAC9zz,spotify:track:4hxNs73449mNhfLIvAC9zz,https://api.spotify.com/v1/tracks/4hxNs73449mNhfLIvAC9zz,https://api.spotify.com/v1/audio-analysis/4hxNs73449mNhfLIvAC9zz,182533,4,Love Killa,Monsta X,popular
7049,0.746,0.765,6,-5.505,0,0.148,0.0324,0,0.109,0.688,98.034,audio_features,6xrjIHbm6ga5J8HhOS2Rmn,spotify:track:6xrjIHbm6ga5J8HhOS2Rmn,https://api.spotify.com/v1/tracks/6xrjIHbm6ga5J8HhOS2Rmn,https://api.spotify.com/v1/audio-analysis/6xrjIHbm6ga5J8HhOS2Rmn,222120,4,LAST PIECE,GOT7,popular
7050,0.725,0.901,11,-4.254,1,0.0777,0.0452,0.000107,0.0506,0.326,130.018,audio_features,6bvZRLLkBKkmgpBJTTj3QK,spotify:track:6bvZRLLkBKkmgpBJTTj3QK,https://api.spotify.com/v1/tracks/6bvZRLLkBKkmgpBJTTj3QK,https://api.spotify.com/v1/audio-analysis/6bvZRLLkBKkmgpBJTTj3QK,180956,4,How You Like That,BLACKPINK,popular
7051,0.451,0.867,4,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,audio_features,5KawlOMHjWeUjQtnuRs22c,spotify:track:5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/tracks/5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c,229773,4,Boy With Luv (feat. Halsey),BTS,popular
7052,0.715,0.866,3,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035,audio_features,6tCssnvTUREcperDOUTqvA,spotify:track:6tCssnvTUREcperDOUTqvA,https://api.spotify.com/v1/tracks/6tCssnvTUREcperDOUTqvA,https://api.spotify.com/v1/audio-analysis/6tCssnvTUREcperDOUTqvA,191242,4,WANNABE,ITZY,popular
7053,0.813,0.787,11,-5.167,0,0.0851,0.137,0,0.129,0.49,147.023,audio_features,24NuEDgyRIljwSyY0lsr7b,spotify:track:24NuEDgyRIljwSyY0lsr7b,https://api.spotify.com/v1/tracks/24NuEDgyRIljwSyY0lsr7b,https://api.spotify.com/v1/audio-analysis/24NuEDgyRIljwSyY0lsr7b,198261,4,Black Swan,BTS,popular
7054,0.645,0.862,11,-4.014,1,0.0599,0.0229,0,0.121,0.223,144.995,audio_features,0H4ugk6rhnXmTl47ayy9O5,spotify:track:0H4ugk6rhnXmTl47ayy9O5,https://api.spotify.com/v1/tracks/0H4ugk6rhnXmTl47ayy9O5,https://api.spotify.com/v1/audio-analysis/0H4ugk6rhnXmTl47ayy9O5,225668,4,Daechwita,Agust D,popular
7055,0.809,0.911,6,-7.811,1,0.425,0.0304,0,0.189,0.345,97.551,audio_features,314ZkcV7oLWG8yWE7LABvH,spotify:track:314ZkcV7oLWG8yWE7LABvH,https://api.spotify.com/v1/tracks/314ZkcV7oLWG8yWE7LABvH,https://api.spotify.com/v1/audio-analysis/314ZkcV7oLWG8yWE7LABvH,226321,4,Make It Right (feat. Lauv),BTS,popular
7056,0.719,0.758,2,-2.991,0,0.0681,0.283,2.75E-06,0.156,0.625,100.988,audio_features,47A15d7bYtiyVhEUutgrdq,spotify:track:47A15d7bYtiyVhEUutgrdq,https://api.spotify.com/v1/tracks/47A15d7bYtiyVhEUutgrdq,https://api.spotify.com/v1/audio-analysis/47A15d7bYtiyVhEUutgrdq,177743,4,Not Shy (English Ver.),ITZY,popular
7057,0.65,0.827,8,-3.394,1,0.0881,0.00219,0,0.103,0.446,126.038,audio_features,03iCbZaM4OkRR4We6wIzvx,spotify:track:03iCbZaM4OkRR4We6wIzvx,https://api.spotify.com/v1/tracks/03iCbZaM4OkRR4We6wIzvx,https://api.spotify.com/v1/audio-analysis/03iCbZaM4OkRR4We6wIzvx,260234,4,IDOL,BTS,popular
